keycloak-service            11.0.14
skmb-antifraud-service  2501.3.0-release
skmb-antifraud-ui          2501.1.0-release
skmb-application-service            2501.2.0-release
skmb-bpm-service         2401.6.0-release
skmb-checklist-adapter 2501.5.0-release
skmb-client-profile-adapter       2404.7.0-release
skmb-cre-adapter          2501.1.0-release
skmb-credithistory-reactive-service        2404.7.0-release
skmb-credithistory-service         2401.4.0-release
skmb-currency-service  2404.4.0-release
skmb-decision-adapter  2501.1.0-release
skmb-dictionary-service             2501.8.0-release
skmb-drp-reactive-adapter        2404.1.0-release
skmb-dwh-reactive-adapter       2404.4.0-release
skmb-etl-adapter           2404.1.0-release
skmb-fin-statements-adapter     2501.5.0-release
skmb-front-adapter       2501.7.0-release
skmb-leasing-front-adapter        2404.7.0-release
skmb-manual-verify-adapter      2501.4.0-release
skmb-monitoring-service            2501.7.0-release
skmb-moratorium-service          2501.0.0-release
skmb-notification-adapter          2402.0.0-release
skmb-okr-reactive-service-v2     2501.9.0-release
skmb-okr-service           2501.2.0-release
skmb-pim-adapter         2501.9.0-release
skmb-pledge-adapter    2404.7.0-release
skmb-preapproved-service         2501.0.0-release
skmb-rbg-adapter          2404.0.0-release
skmb-revision-service    2501.0.0-release
skmb-scoring-model-storage      2404.4.0-release
skmb-spr2-proactive      2501.1.0-release
skmb-spr2-reactive        2501.1.0-release
skmb-spr3         2501.3.0-release
skmb-ui             2501.15.0-release
skmb-ui-adapter            2501.5.0-release
skmb-usbs-emulator      2304.10.0
